config	experiment	group	sample_str	sample_int	numEpisodes	run_id
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	0
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	1
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	2
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	3
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	4
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	5
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	6
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	7
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	8
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	9
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	10
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	11
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	12
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	13
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	14
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	15
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	16
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	17
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	18
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	19
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	20
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	21
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	22
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	23
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	24
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	25
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	26
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	27
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	28
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	29
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	30
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	31
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	32
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	33
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	34
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	35
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	36
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	37
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	38
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	39
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	40
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	41
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	42
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	43
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	44
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	45
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	46
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	47
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	48
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	49
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	50
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	51
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	52
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	53
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	54
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	55
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	56
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	57
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	58
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	59
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	60
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	61
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	62
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	63
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	64
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	65
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	66
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	67
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	68
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	69
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	70
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	71
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	72
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	73
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	74
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	75
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	76
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	77
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	78
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	79
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	80
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	81
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	82
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	83
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	84
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	85
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	86
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	87
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	88
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	89
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	90
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	91
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	92
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	93
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	94
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	95
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	96
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	97
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	98
c0	experiments/setups/sample_setup.xml	g1	string_1	1	5	99
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	0
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	1
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	2
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	3
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	4
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	5
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	6
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	7
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	8
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	9
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	10
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	11
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	12
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	13
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	14
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	15
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	16
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	17
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	18
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	19
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	20
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	21
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	22
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	23
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	24
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	25
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	26
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	27
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	28
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	29
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	30
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	31
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	32
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	33
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	34
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	35
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	36
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	37
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	38
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	39
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	40
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	41
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	42
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	43
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	44
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	45
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	46
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	47
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	48
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	49
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	50
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	51
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	52
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	53
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	54
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	55
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	56
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	57
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	58
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	59
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	60
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	61
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	62
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	63
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	64
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	65
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	66
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	67
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	68
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	69
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	70
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	71
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	72
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	73
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	74
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	75
c1	experiments/setups/sample_setup.xml	g1	string_1	5	5	76
